Country/Region,CumulativeMaleCases,CumulativeFemaleCases,CumulativeTotalCases,NumberOfDeaths,CaseFatalitiesRatio(%),DateOnsetFirstProbableCase,DateOnsetLastProbableCase,MedianAge,AgeRange,NumberOfImportedCases,PercentageOfImportedCases,NumberOfHCWAffected,PercentageOfHCWAffected,Population
Australia,4,2,6,0,0,2003/2/26,2003/4/1,15,1-45,6,100,0,0,19731984
Canada,151,100,251,43,17,2003/2/23,2003/6/12,49,1-98,5,2,109,43,32207113
China,2674,2607,5327,349,7,2002/11/16,2003/6/3,,,,,1002,19,1286975468
Hong Kong,977,778,1755,299,17,2003/2/15,2003/5/31,40,0-100,,,386,22,7394170
Macao,0,1,1,0,0,2003/5/5,2003/5/5,28,,1,100,0,0,469903
Taiwan,218,128,346,37,11,2003/2/25,2003/6/15,42,0-93,21,6,68,20,22603001
France,1,6,7,1,14,2003/3/21,2003/5/3,49,,7,100,2,29,60180529
Germany,4,5,9,0,0,2003/3/9,2003/5/6,44,4-73,9,100,1,11,82398326
India,0,3,3,0,0,2003/4/25,2003/5/6,25,25-30,3,100,0,0,1049700118
Indonesia,0,2,2,0,0,2003/4/6,2003/4/17,56,47-65,2,100,0,0,234893453
Italy,1,3,4,0,0,2003/3/12,2003/4/20,30,25-54,4,100,0,0,57998353
Kuwait,1,0,1,0,0,2003/4/9,2003/4/9,50,,1,100,0,0,2183161
Malaysia,1,4,5,2,40,2003/3/14,2003/4/22,30,26-84,5,100,0,0,23092940
Mongolia,8,1,9,0,0,2003/3/31,2003/5/6,32,17-63,8,89,0,0,2712315
New Zealand,1,0,1,0,0,2003/4/20,2003/4/20,67,,1,100,0,0,3951307
Philippines,8,6,14,2,14,2003/2/25,2003/5/5,41,29-73,7,50,4,29,84619974
Ireland,0,1,1,0,0,2003/2/27,2003/2/27,56,,1,100,0,0,3924140
South Korea,0,3,3,0,0,2003/4/25,2003/5/10,40,20-80,3,100,0,0,48289037
Romania,0,1,1,0,0,2003/3/19,2003/3/19,52,,1,100,0,0,22271839
Russia,0,1,1,0,0,2003/5/5,2003/5/5,25,,,,0,0,144526278
Singapore,161,77,238,33,14,2003/2/25,2003/5/5,35,1-90,8,3,97,41,4608595
South Africa,0,1,1,1,100,2003/4/3,2003/4/3,62,,1,100,0,0,42768678
Spain,0,1,1,0,0,2003/3/26,2003/3/26,33,,1,100,0,0,40217413
Sweden,3,2,5,0,0,2003/3/28,2003/4/23,43,33-55,5,100,0,0,8878085
Switzerland,0,1,1,0,0,2003/3/9,2003/3/9,35,,1,100,0,0,7318638
Thailand,5,4,9,2,22,2003/3/11,2003/5/27,42,2-79,9,100,1,11,64265276
United Kingdom,2,2,4,0,0,2003/3/1,2003/4/1,59,28-74,4,100,0,0,60094648
United States of America,13,14,27,0,0,2003/2/24,2003/7/13,36,0-83,27,100,0,0,290342554
VietNam,39,24,63,5,8,2003/2/23,2003/4/14,43,20-76,1,2,36,57,81624716
